Index,ID,Name,Brand,Colours,Gender,Price($),Currency,Date
163,AWozwk6mAGTnQPR7qycA,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
164,AWo0iiv_M263mwCq505i,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Black Multi Leather,Women's,174.78,USD,2019-04-19
165,AWo0gpdaAGTnQPR7rARu,Women's Jambu Cruise Encore Water Resistant Boot,Jambu,Black Full Grain Leather,Women's,173.99,USD,2019-04-30
166,AWpxdX2eM263mwCq-tkB,Women's Ros Hommerson Nadia Walking Shoe,Ros Hommerson,White,Women's,172.2,USD,2019-04-21
167,AWo1lfkvM263mwCq6Ow_,"Women's SAS, Tour Mesh Sneakers",SAS,SILVER,Women's,170.95,USD,2019-04-19
168,AWo1nFKx0U_gzG0hfOdo,"Women's SAS, Tour Mesh Sneakers",SAS,NAVY WHITE,Women's,170.95,USD,2019-04-19
169,AWozr6_iJbEilcB6MDh2,"Women's SAS, Siesta Lace up Shoe",SAS,WHITE,Women's,170.95,USD,2019-04-19
170,AWo1kwRsJbEilcB6MtpT,"Women's SAS, Tour Mesh Sneakers",SAS,SILVER,Women's,170.95,USD,2019-04-19
171,AWo55sQW0U_gzG0hfw6r,Bella Vita Women's Ronan Boot,Bella Vita,Black,Women's,170.12,USD,2019-04-29
172,AWoxIgvB0U_gzG0hec_j,UGG CAYLIWomen's Leather Suede Duck Rain Boots 1095160,UGG,Coconut Shell,Women's,169.95,USD,2019-04-18
173,AWo0ilp70U_gzG0he0P8,Women's Spring Step Jaru Bootie,Spring Step,Dark Brown Leather,Women's,169.95,USD,2019-04-24
174,AWoxEU_80U_gzG0hecvx,UGG CAYLIWomen's Leather Suede Duck Rain Boots 1095160,UGG,Black,Women's,169.95,USD,2019-04-18
